4 way domicile;Domicile;Level of study;Mode of study;Academic Year;Region of HE provider;Number
All;Bulgaria;All;Full-time;2021/22;The Open University in England;0
All;Bulgaria;All;Full-time;2021/22;England;2995
All;Bulgaria;All;Full-time;2021/22;Wales;140
All;Bulgaria;All;Full-time;2021/22;Scotland;645
All;Bulgaria;All;Full-time;2021/22;Northern Ireland;5
All;Bulgaria;All;Full-time;2021/22;Total United Kingdom;3790
All;Bulgaria;All;Part-time;2021/22;North East;5
All;Bulgaria;All;Part-time;2021/22;North West;5
All;Bulgaria;Postgraduate (taught);Full-time;2021/22;Total United Kingdom;210
All;Bulgaria;Postgraduate (taught);Part-time;2021/22;North East;0
All;Bulgaria;Postgraduate (taught);Part-time;2021/22;North West;0
All;Bulgaria;Postgraduate (taught);Part-time;2021/22;Yorkshire and The Humber;10
All;Bulgaria;Postgraduate (taught);Part-time;2021/22;East Midlands;5
All;Bulgaria;Postgraduate (taught);Part-time;2021/22;West Midlands;0
All;Bulgaria;Postgraduate (taught);Part-time;2021/22;East of England;5
All;Bulgaria;Postgraduate (taught);Part-time;2021/22;London;30
All;Bulgaria;Postgraduate (taught);Part-time;2021/22;South East;10
All;Bulgaria;Postgraduate (taught);Part-time;2021/22;South West;5
All;Bulgaria;All;Part-time;2021/22;Scotland;40
All;Bulgaria;All;Part-time;2021/22;Northern Ireland;0
All;Greece;Postgraduate (research);All;2021/22;Wales;25
All;Greece;Postgraduate (research);All;2021/22;Scotland;155
All;Greece;Postgraduate (research);All;2021/22;Northern Ireland;10
All;Greece;Postgraduate (research);All;2021/22;Total United Kingdom;995
All;Greece;Postgraduate (taught);Full-time;2021/22;North East;80
All;Greece;Postgraduate (taught);Full-time;2021/22;North West;50
All;Greece;Postgraduate (taught);Full-time;2021/22;Yorkshire and The Humber;40
All;Greece;Postgraduate (taught);Full-time;2021/22;East Midlands;25
All;Greece;Postgraduate (taught);Full-time;2021/22;West Midlands;45
All;Greece;Postgraduate (taught);Full-time;2021/22;East of England;50
All;Greece;Postgraduate (taught);All;2021/22;The Open University in England;0
All;Greece;Postgraduate (taught);All;2021/22;England;1320
All;Greece;Postgraduate (taught);All;2021/22;Wales;65
All;Greece;Postgraduate (taught);All;2021/22;Scotland;245
All;Greece;Postgraduate (taught);All;2021/22;Northern Ireland;5
All;Greece;Postgraduate (taught);All;2021/22;Total United Kingdom;1635
All;Greece;All postgraduate;Full-time;2021/22;North East;105
All;Greece;All postgraduate;Full-time;2021/22;North West;125
All;Greece;All postgraduate;Full-time;2021/22;Yorkshire and The Humber;90
All;Greece;All postgraduate;Full-time;2021/22;East Midlands;70
All;Russia;Postgraduate (taught);All;2021/22;The Open University in England;0
All;Russia;Postgraduate (taught);All;2021/22;England;825
All;Russia;Postgraduate (taught);All;2021/22;Wales;15
All;Russia;Postgraduate (taught);All;2021/22;Scotland;110
All;Russia;Postgraduate (taught);All;2021/22;Northern Ireland;10
All;Russia;Postgraduate (taught);All;2021/22;Total United Kingdom;955
All;Russia;All postgraduate;Full-time;2021/22;North East;30
All;Russia;All postgraduate;Full-time;2021/22;North West;55
All;Russia;All postgraduate;Full-time;2021/22;Yorkshire and The Humber;25
All;Russia;All postgraduate;Full-time;2021/22;East Midlands;25
